Id	Barbera	Garganega	Glera	Moscatobianco	Negroamaro	Passerina	Primitivo	Refosco	Sangiovese	Vermentino
Vitvi13g01113	2.66732	6.74091	2.16952	2.78907	4.47536	3.75126	4.42606	0	1.85146	1.08383
Vitvi14g00358	1.57085	3.62084	3.09695	1.69132	2.57991	0.358892	3.08438	1.53921	4.14435	1.78452
Vitvi14g01916	114.528	132.655	93.551	76.2368	283.154	124.469	105.808	157.033	173.289	50.8079
Vitvi14g01917	0	0	0.37405	0.427394	0	0	0.723733	0.414316	1.04699	0.307503
Vitvi14g01910	1044.96	982.565	643.919	536.382	425.309	362.087	1037.76	313.96	503.027	657.923
Vitvi14g01911	9.04248	6.76973	8.11213	6.48155	39.3775	2.40565	15.412	10.9655	4.29964	1.08885
Vitvi14g01918	1.16305	0.43424	0	0.443603	0.61424	0	0	0	0	0.700687
Vitvi14g01919	40.1727	39.275	66.3442	37.9537	40.1266	42.804	42.3571	43.0221	63.5099	28.9353
Vitvi14g01867	706.947	589.912	451.828	332.496	471.284	477.148	667.631	417.869	366.749	440.258
Vitvi05g01970	0.795484	3.1168	2.09755	3.74316	1.77123	2.15025	5.60146	1.60659	7.3418	7.632
Vitvi05g01971	0	0	0	0.376722	0	0.284084	0	0	2.16583	12.673
Vitvi05g01972	7.5634	26.5517	38.6952	24.6263	26.8305	25.8714	22.4905	36.8581	67.4183	19.4784
Vitvi19g00691	2.78984	3.00602	2.94161	2.1856	2.69836	2.30216	1.55325	2.50817	1.97851	1.78452
Vitvi19g00690	6.43111	9.6698	28.8393	18.0047	26.9304	27.7656	8.31783	15.739	7.06597	12.7436
Vitvi19g00693	85.8718	57.7644	78.9861	95.9641	69.8141	128.741	113.432	95.9728	142.173	65.4421
Vitvi19g00692	219.657	190.626	223.546	197.407	256.65	258.839	216.11	232.264	238.535	225.568
Vitvi19g00695	2935.26	2082.18	3033.22	2568.83	1848.32	2070.16	2016.27	2140.39	2246.16	2941.03
Vitvi19g00694	24843.1	23071.4	23134.9	23948.6	22787.5	20152.3	21760.7	24442.3	23838.4	23903.1
Vitvi10g01622	9.84303	17.8194	7.22209	12.0984	0.655434	11.6422	8.31783	22.0657	2.09398	4.88975
Vitvi10g01621	7.07838	5.61878	4.54717	2.1856	3.5019	4.0505	2.64257	5.16114	0.617154	0.307503
Vitvi02g01539	0.708785	0	2.09755	0	0	0	0	2.85511	0	0
Vitvi05g00599	414.953	36.4555	255.274	98.4712	403.05	280.592	79.0833	126.642	141.852	58.9695
Vitvi05g00598	0	0.397312	0	2.06804	0	0	0	0.352505	0	0
Vitvi05g00596	0.265161	1.08926	1.08476	5.62676	1.26967	1.22548	0	0.419885	0	1.00317
Vitvi05g00591	1.80525	1.05233	0.975404	1.19705	1.88391	1.00187	0.345877	0.414316	0.617154	0.781348
Vitvi05g00590	7.36872	2.38792	3.73769	3.59319	1.38749	2.39131	0.377856	0.705009	2.22103	3.02457
Vitvi05g00592	16.6149	1.41677	16.4735	16.5788	27.1486	11.4965	1.80319	16.3399	21.6533	10.6213
Vitvi17g00830	0	1.05233	10.2816	1.67511	0.348314	0.732125	3.31462	1.89171	3.71451	1.39635
Vitvi17g00836	0	0	3.77508	0.443603	3.92044	0.92706	0	0	0	0.388163
Vitvi19g00038	469.192	522.579	521.83	526.733	417.905	472.428	529.118	252.256	401.932	373.975
Vitvi05g00629	86.3486	37.2811	150.421	131.597	1500.78	50.1939	790.875	210.927	844.003	210.502
Vitvi05g00628	19.6033	17.084	15.2229	19.358	18.3227	19.3367	17.3815	17.7332	24.0861	15.5564
Vitvi05g00623	692.377	607.339	440.421	536	320.963	618.628	136.205	556.976	438.441	972.944
Vitvi05g00621	124.906	173.784	215.002	232.053	179.598	168.523	171.107	100.255	196.635	210.491
Vitvi05g00620	1216.85	1394.24	1311.26	1330.71	1087.89	1364.73	1167.92	1258.94	1392.22	1616.65
Vitvi05g00627	243.298	267.077	285.951	443.621	319.018	286.328	301.525	306.579	258.521	303.865
Vitvi05g00626	166.589	116.236	122.077	137.476	140.2	135.65	113.025	164.478	145.831	143.633
Vitvi05g00625	111.936	154.267	134.918	196.181	145.457	159.112	131.482	215.511	213.226	207.713
Vitvi05g00624	159.894	181.998	162.914	165.482	191.66	153.288	168.539	181.376	171.845	150.473
Vitvi09g00079	1043.51	833.604	711.009	541.507	820.254	757.255	733.9	843.023	532.894	659.461
Vitvi09g01130	17.0187	27.8175	24.0409	0.376722	15.7119	8.54674	5.73922	28.3629	13.5955	21.2781
Vitvi09g01137	50.3553	111.211	70.8634	65.4378	55.8321	66.3287	66.823	61.4676	67.9931	78.8309
Vitvi03g01529	44.5216	41.1025	81.7166	96.5676	27.7867	54.3524	54.0852	76.6258	37.8651	55.2994
Vitvi03g01528	0	0.397312	2.2155	0.820325	1.00375	0.373233	0.723733	2.73149	0.501689	1.16951
Vitvi03g01521	111.473	65.1266	58.3028	85.1005	78.5174	14.409	110.25	64.991	78.6492	56.3834
Vitvi03g01523	0	0.831552	0	0.427394	0	0	0	0	0.501689	0.307503
Vitvi03g01522	66.3854	95.4229	80.2878	60.1722	65.2267	92.463	125.277	77.2595	85.0068	37.0108
Vitvi03g01524	0	0.43424	0.577364	0.804116	0	2.01808	1.14342	0	0	0.393185
Vitvi19g01638	510.187	534.083	462.084	673.474	444.211	555.315	558.722	550.492	514.765	573.305
Vitvi19g01635	197.347	202.844	248.172	235.318	273.586	299.653	198.911	235.476	301.385	272.117
Vitvi19g01636	41.1203	63.9944	58.539	53.2121	56.1225	64.1881	55.3436	59.2551	58.7242	60.3253
Vitvi19g01637	303.984	319.922	316.33	353.682	268.486	316.617	335.098	264.976	264.356	335.866
Vitvi19g01630	0.265161	3.76777	17.309	1.18084	41.2766	36.192	3.0524	4.73568	22.223	21.8173
Vitvi19g01631	0	1.30272	0.288682	0.753443	1.38172	2.61493	2.28684	2.71478	0	1.39133
Vitvi09g00660	10.2659	10.6154	4.97579	5.89429	9.99649	3.2579	7.64821	8.87829	11.0114	10.0971
Vitvi09g00667	8.42546	5.47917	5.57914	2.26033	48.1212	4.72215	1.10159	2.71478	15.0378	58.8836
Vitvi09g00668	64.9763	54.534	75.258	75.1772	97.5763	51.3998	45.23	48.7875	132.758	40.7765
Vitvi03g00699	6.52287	21.047	18.243	2.93904	1.15123	7.8909	27.2073	1.53364	2.78299	3.9572
Vitvi03g00690	1089.07	1514.15	1855.13	1930.83	1080.61	1719.32	1744.7	1247.9	1215.76	1872.65
Vitvi03g00691	0	0	0	0	0.383742	7.46695	1.25906	0.419885	0	0
Vitvi03g00692	13.5654	10.4725	19.2426	0.427394	10.2797	5.36594	144.055	95.2923	71.4035	0.393185
Vitvi03g00695	3.28941	5.14761	5.21849	4.30431	2.04292	2.50914	1.83517	1.89171	4.84494	2.88341
Vitvi11g01669	173.813	121.378	96.3507	152.813	76.8228	164.466	152.907	154.369	82.2199	155.953
Vitvi11g01666	0	1.08926	0.975404	0	0.30712	2.24169	0.377856	0.828632	0.931524	1.39635
Vitvi11g01665	31.0222	42.8744	52.6214	39.301	25.6324	29.563	29.4214	44.2434	48.8457	58.4048
Vitvi11g01664	3.02424	0	1.37344	1.95049	4.19213	0.284084	1.13357	2.86068	1.54868	2.1777
Vitvi11g01663	7.40505	1.05233	3.26768	1.26393	4.64736	8.54822	6.29321	3.6275	1.54868	4.21424
Vitvi11g01662	14.5595	7.72017	4.66512	3.36644	29.0506	25.0781	13.0194	15.3882	2.98189	18.9689
Vitvi02g00175	25.7143	90.5517	160.469	92.3882	185.781	139.099	54.9228	79.4609	69.4585	21.7065
Vitvi02g00176	3955.55	1937.06	1913.83	1493.02	2246.68	2104.61	1832.52	1606.78	1685.62	1173.77
Vitvi02g00177	1.18317	0.397312	0	0	1.03918	0	1.14342	0.76682	2.2813	0
Vitvi02g00170	173.44	38.8294	48.7839	160.338	42.7008	43.8473	67.3525	143.247	70.2346	54.2005
Vitvi02g00171	1039.57	888.612	898.671	1127.45	729.131	878.234	923.733	1126.82	879.164	923.392
Vitvi02g00172	242.642	263.403	202.139	192.84	218.027	224.487	251.626	242.177	205.078	190.005
Vitvi02g00173	103.769	100.809	56.5967	36.838	50.0523	74.8126	81.3283	38.7397	43.9546	46.7953
Vitvi02g00178	0.443624	3.91142	0.39804	1.19705	1.00375	0.92706	2.69667	2.36227	0	0.695666
Vitvi02g00179	63.9688	90.9742	226.793	141.576	156.528	115.912	113.622	134.402	214.113	228.2
Vitvi18g01965	0	2.71543	1.45881	3.04039	0	3.19824	0	0	0	0
Vitvi18g01964	2.9683	0	0	0	0	2.66105	0	0	0	0
Vitvi18g01967	624.439	519.488	430.553	508.374	613.505	533.546	545.3	530.661	442.633	430.202
Vitvi16g01443	4.84962	5.5376	2.84566	4.13609	3.15296	4.12449	3.77613	0	6.85548	5.04605
Vitvi18g01961	0	1.5933	0	0.427394	0.348314	0	0	0	8.24508	0.307503
Vitvi18g01960	0	0.761749	0.37405	0.820325	0.383742	0	0	0.352505	0	0
Vitvi18g01962	4.35005	0.43424	8.14952	2.80528	1.42868	3.72258	1.14342	1.05751	7.59969	6.14996
Vitvi18g01968	132.426	69.6322	50.8267	64.037	90.5654	70.4306	98.4142	93.7269	63.3098	88.2522
Vitvi14g00355	29.9822	22.3643	27.4505	22.5117	40.3095	5.82751	20.0758	15.1081	11.4682	34.4953
Vitvi10g00748	12.3062	4.45566	25.5593	17.3181	46.0127	14.5993	4.27844	8.58649	41.0971	6.68431
Vitvi10g00749	0	1.5933	1.08476	0.870997	0.383742	0.284084	0	0.419885	1.11884	0
Vitvi17g00603	18.7574	4.16508	27.0047	32.6903	12.0864	13.2568	15.4947	10.1313	5.57756	13.4847
Vitvi14g00352	1.95853	18.2362	5.64052	6.10278	5.26737	32.654	4.60566	12.3699	10.511	8.40832
Vitvi18g00703	111.527	39.2786	211.054	26.4085	113.299	236.23	31.846	28.9994	400.72	521.081
Vitvi18g00700	11.6264	0	0	0	0	2.2394	8.79023	0	4.80005	0
Vitvi18g00706	2438.57	1090.63	1493.25	1846.41	1943.48	2208.37	1677.46	1650.32	1551.15	1445.07
Vitvi18g00707	37.9069	55.1898	56.3917	76.5743	41.627	36.9273	49.8391	51.3207	58.0851	75.0451
Vitvi18g00704	6.45629	7.2007	8.82084	24.6749	18.4804	0.284084	3.02042	6.28603	16.5338	8.93765
Vitvi18g00708	0.652845	0.761749	3.54297	8.29043	1.7358	2.39131	1.14342	6.9348	5.04763	14.6289
Vitvi01g01992	33.1653	2.5389	83.7354	195.305	120.203	5.33564	3.54589	14.7166	90.4753	8.85699
Vitvi01g01993	27.3255	23.7108	32.0591	53.3317	66.6218	6.20074	28.5181	12.5047	24.2721	7.54129
Vitvi01g01990	22.8619	6.62686	33.1594	35.1409	0.690862	4.49854	25.5419	5.64283	34.7702	17.8552
Vitvi01g01991	487.69	472.864	502.741	445.251	521.789	531.949	428.245	511.661	533.991	513.439
Vitvi01g01996	311.742	314.797	286.611	300.113	306.863	328.493	321.82	373.723	314.682	276.826
Vitvi01g01997	1.48415	23.2912	2.16952	3.69453	59.6338	45.9538	85.9182	7.45603	16.716	49.4972
Vitvi01g01994	2.6058	2.50603	4.66512	5.3676	6.28202	2.60059	3.00072	6.2916	4.17259	4.05794
Vitvi01g01995	1363.1	1372.13	1202.36	1069.41	1161.23	1142.48	1433.14	1244.84	1232.11	981.398
Vitvi01g01998	21.1802	689.493	0.39804	5.40001	755.144	1808.15	1356.8	1.59545	79.4768	451.793
Vitvi01g01999	3.74367	37.7162	1.43482	0.870997	68.0177	89.5762	156.941	0	6.74002	39.0121
Vitvi01g00029	625.107	641.307	704.523	750.243	552.019	614.455	634.392	734.97	607.456	595.949
Vitvi01g00028	165.977	132.521	144.322	85.6746	195.754	199.698	146.876	102.357	152.501	172.83
Vitvi01g00023	458.919	422.87	422.1	428.908	424.634	469.33	528.627	514.35	393.16	482.679
Vitvi01g00025	239.888	274.001	257.472	162.045	237.949	223.367	295.294	263.04	225.076	190.721
Vitvi01g00024	246.878	290.376	337.946	279.784	354.684	257.548	255.541	347.756	313.092	235.056
Vitvi01g00027	53.3498	27.3126	90.0255	160.984	59.9181	30.1161	27.3672	90.6251	59.7878	36.6329
Vitvi01g00026	749.916	1127.53	1455.46	1383.33	1186.26	1089.27	1101.05	839.216	1018.1	936.861
Vitvi10g01197	5.71168	4.59932	0.662732	1.60823	3.85535	2.58624	3.6605	2.00977	0.501689	3.57405
Vitvi04g00288	55.9294	87.8785	68.5827	109.307	101.285	88.5618	72.2081	133.682	96.3057	102.075
Vitvi04g00289	1.36163	4.41547	0.951415	8.01505	0	0.358892	0.345877	0.352505	1.11884	1.70386
Vitvi04g00280	80.5159	107.474	73.2938	90.6616	74.7575	90.8914	98.0905	103.257	118.134	103.653
Vitvi04g00281	220.906	206.804	441.639	168.032	329.785	172.975	112.441	129.485	233.362	128.847
Vitvi04g00282	65.6766	2.21139	91.3473	5.89429	4.84243	3.31837	5.17296	53.9291	25.6617	332.095
Vitvi04g00283	157.98	57.4563	73.7612	109.748	151.559	114.777	102.218	123.808	102.009	104.777
Vitvi04g00286	21.9539	35.698	34.4185	39.868	16.5496	9.92413	23.6758	24.6118	53.4648	27.796
Vitvi04g00287	204.054	149.915	205.869	205.632	245.315	175.85	217.879	236.712	357.249	175.184
Vitvi17g01449	0	0	0.37405	2.9573	2.07835	1.28595	0.419686	2.72592	1.50507	0.388163
Vitvi08g02251	44.6995	31.5556	24.1702	31.8838	49.8038	19.2498	20.0782	22.2667	33.3832	20.8242
Vitvi08g02250	3.30446	0	0	0.887206	0	1.31463	0.419686	1.60659	0.501689	0.307503
Vitvi08g02253	0.775366	1.51945	0	0.376722	2.27342	0.358892	0.377856	0	2.66752	0.307503
Vitvi08g02252	1229.71	1232.28	1078.27	1013.03	1235.59	1332.91	1094.58	999.846	1076.59	1095.83
Vitvi08g02257	502.372	177.55	352.155	380.062	463.011	420.242	855.883	404.604	351.995	431.568
Vitvi08g02256	1.80525	4.35298	3.84505	0.443603	1.99596	0.657317	3.76628	0.352505	6.56935	5.27289
Vitvi08g02259	14.0096	2.5389	30.7344	17.3751	32.8821	6.99334	16.0167	18.5941	32.8686	10.1172
Vitvi08g02258	51.7029	70.8059	120.415	127.587	76.9203	72.6535	94.6922	50.3428	76.9874	67.65
Vitvi04g01623	7.34354	2.68988	5.4458	7.09338	4.62283	5.78449	6.75473	7.00775	10.9242	4.10338
Vitvi04g01624	26.2649	26.0911	27.0879	34.2151	27.658	39.2756	33.2119	34.3064	50.7703	31.9396
Vitvi13g02016	135.701	223.194	92.2119	72.0208	136.476	74.1259	140.476	68.0371	133.103	21.283
Vitvi12g00504	0	0.43424	0	0	0	0	0	0	0	1.09387
Vitvi12g00505	315.065	127.667	94.588	157.27	45.848	16.0357	181.199	204.471	174.652	222.101
