gene	Barbera_Soft	Negroamaro_Soft	Primitivo_Soft	Refosco_Soft	Sangiovese_Soft
Vitvi13g01113	2.66867	4.46885	4.42344	0	1.84415
Vitvi14g00358	1.57186	2.5752	3.08424	1.53795	4.12994
Vitvi14g01916	114.574	282.703	105.775	156.86	172.693
Vitvi14g01910	1045.3	424.632	1037.4	313.625	501.429
Vitvi14g01911	9.04598	39.3132	15.4136	10.9538	4.29156
Vitvi14g01919	40.1823	40.0652	42.3418	42.976	63.2855
Vitvi14g01867	707.402	470.553	667.348	417.443	365.595
Vitvi05g01970	0.797812	1.76827	5.59999	1.60505	7.32567
Vitvi05g01972	7.56401	26.79	22.4835	36.8267	67.1825
Vitvi19g00691	2.78975	2.69455	1.55506	2.50495	1.97143
Vitvi19g00690	6.43414	26.8871	8.3133	15.7256	7.04446
Vitvi19g00693	85.907	69.7029	113.38	95.864	141.739
Vitvi19g00692	219.78	256.244	216.009	232.019	237.764
Vitvi19g00695	2937.26	1845.44	2015.58	2138.2	2239.1
Vitvi19g00694	24857.7	22751.9	21755	24416.5	23762.3
Vitvi10g01622	9.84566	0.654598	8.3133	22.0419	2.0847
Vitvi10g01621	7.08154	3.49755	2.63883	5.15461	0.614715
Vitvi02g01539	0.709788	0	0	2.85096	0
Vitvi05g00599	415.411	402.423	79.0609	126.522	141.417
Vitvi05g00591	1.8066	1.88161	0.345056	0.413113	0.614715
Vitvi05g00590	7.37311	1.38536	0.378508	0.705162	2.21199
Vitvi05g00592	16.6226	27.1068	1.79976	16.3229	21.5788
Vitvi17g00830	0	0.347846	3.31379	1.89054	3.7023
Vitvi17g00836	0	3.91344	0	0	0
Vitvi19g00038	469.449	417.259	528.895	251.998	400.64
Vitvi05g00629	86.3642	1498.33	790.515	210.733	841.331
Vitvi05g00628	19.6141	18.2965	17.376	17.7135	24.0211
Vitvi05g00623	692.818	320.465	136.178	556.416	437.066
Vitvi05g00621	124.95	179.321	171.045	100.153	196.017
Vitvi05g00620	1217.51	1086.19	1167.52	1257.58	1387.7
Vitvi05g00627	243.442	318.508	301.418	306.253	257.694
Vitvi05g00626	166.716	139.977	112.98	164.273	145.373
Vitvi05g00625	111.979	145.229	131.454	215.274	212.582
Vitvi05g00624	160.007	191.355	168.454	181.182	171.303
Vitvi09g00079	1044.2	818.971	733.659	842.096	531.203
Vitvi09g01130	17.0226	15.6881	5.74137	28.3345	13.5454
Vitvi09g01137	50.3797	55.7452	66.8106	61.3922	67.773
Vitvi03g01529	44.5454	27.7433	54.0615	76.548	37.7625
Vitvi03g01528	0	1.00244	0.723563	2.7299	0.501442
Vitvi03g01521	111.531	78.3972	110.194	64.9271	78.409
Vitvi03g01523	0	0	0	0	0.501442
Vitvi03g01522	66.4247	65.1228	125.224	77.1899	84.7281
Vitvi19g01638	510.432	443.509	558.521	549.869	513.109
Vitvi19g01635	197.471	273.152	198.848	235.226	300.381
Vitvi19g01636	41.1413	56.0359	55.3264	59.1976	58.5382
Vitvi19g01637	304.185	268.067	334.957	264.709	263.5
Vitvi19g01630	0.265937	41.2098	3.05079	4.72836	22.1629
Vitvi19g01631	0	1.37934	2.2862	2.7102	0
Vitvi09g00660	10.2784	9.98017	7.64906	8.8712	10.9733
Vitvi09g00667	8.42608	48.0497	1.10207	2.7102	15.014
Vitvi09g00668	65.0141	97.421	45.2102	48.7293	132.34
Vitvi03g00699	6.52403	1.14875	27.1912	1.53139	2.77322
Vitvi03g00690	1089.75	1078.9	1744.06	1246.58	1211.87
Vitvi03g00692	13.5725	10.2639	144	95.1838	71.1597
Vitvi03g00695	3.29043	2.03996	1.83321	1.89054	4.83247
Vitvi11g01669	173.946	76.7051	152.847	154.209	81.9775
Vitvi11g01665	31.0334	25.5942	29.4044	44.2034	48.671
Vitvi11g01664	3.02449	4.18512	1.13552	2.85753	1.54379
Vitvi11g01663	7.40987	4.64028	6.2901	3.62322	1.54379
