gene	Barbera_Touch	Negroamaro_Touch	Primitivo_Touch	Refosco_Touch	Sangiovese_Touch
Vitvi13g01113	1.49397	1.64738	6.78665	0.241977	1.87905
Vitvi14g00358	1.6746	1.93622	6.23241	1.80492	1.62962
Vitvi14g01916	78.6793	121.841	115.449	165.085	179.039
Vitvi14g01910	853.084	1301.89	837.181	1216.18	768.956
Vitvi14g01911	8.98666	13.9366	14.1683	6.2705	6.00358
Vitvi14g01919	117.402	70.9669	61.2112	117.11	114.001
Vitvi14g01867	512.034	491.582	583.254	525.856	469.815
Vitvi05g01970	0.950397	1.35855	3.36342	1.00337	1.89878
Vitvi05g01972	4.82209	7.74486	11.1861	9.69881	20.0884
Vitvi19g00691	0.701404	1.10865	2.29153	1.8096	1.28154
Vitvi19g00690	30.7405	36.4184	13.1745	22.1606	33.3193
Vitvi19g00693	110.437	94.8103	142.649	120.419	151.598
Vitvi19g00692	197.06	159.356	162.965	148.598	199.198
Vitvi19g00695	3233	2344.42	2996.71	2914.36	2905.21
Vitvi19g00694	14711.2	12140.7	12981.5	11229	13763.5
Vitvi10g01622	0.724202	0	0.253905	0.806229	0
Vitvi10g01621	0.769786	0.269369	0	0.27744	0
Vitvi02g01539	0	0	0.292599	3.29116	0
Vitvi05g00599	223.202	89.8526	594.88	98.9951	120.435
Vitvi05g00591	0.497996	1.91675	1.38561	0.241977	0
Vitvi05g00590	5.86192	6.59342	3.40211	6.39829	1.57043
Vitvi05g00592	20.6194	120.194	12.2334	114.87	17.3523
Vitvi17g00830	19.6462	18.5045	39.5727	38.3933	24.6527
Vitvi17g00836	0	4.6144	0	0.241977	0
Vitvi19g00038	617.293	668.91	714.25	533.903	565.03
Vitvi05g00629	1320.32	1858.14	1762.05	1810.72	1613.56
Vitvi05g00628	23.0427	13.2258	17.1723	17.2267	13.0164
Vitvi05g00623	675.11	461.007	286.037	782.82	674.491
Vitvi05g00621	387.177	394.107	421.422	349.236	353.19
Vitvi05g00620	1954.04	1699.79	1654.18	1836.48	2060.98
Vitvi05g00627	188.238	186.364	188.85	169.137	158.054
Vitvi05g00626	151.344	100.686	127.842	132.737	145.874
Vitvi05g00625	186.293	193.032	207.196	216.171	291.642
Vitvi05g00624	184.724	245.462	243.269	241.42	200.295
Vitvi09g00079	636.496	635.592	511.585	702.285	426.142
Vitvi09g01130	42.894	29.8407	19.9358	32.8726	33.0138
Vitvi09g01137	102.788	117.643	102.762	111.276	122.078
Vitvi03g01529	34.1563	39.0578	35.6628	82.725	43.4855
Vitvi03g01528	0	0.534861	0.253905	0.564252	1.25732
Vitvi03g01521	93.2089	102.426	52.7801	32.1306	36.4401
Vitvi03g01523	0.475198	2.49442	0.546504	1.08367	0.953198
Vitvi03g01522	57.2183	118.44	70.0686	101.221	66.9428
Vitvi19g01638	371.728	482.965	301.751	355.4	326.219
Vitvi19g01635	176.056	248.349	222.089	161.725	276.011
Vitvi19g01636	67.6307	47.2394	64.7465	66.2876	49.9454
Vitvi19g01637	368.863	352.836	368.422	377.223	310.345
Vitvi19g01630	5.68135	25.4177	2.62283	12.1623	13.9983
Vitvi19g01631	0.226206	0.554323	1.66764	0.483955	0
Vitvi09g00660	1.76576	1.64738	0.934058	1.00337	2.86721
Vitvi09g00667	17.7033	19.7297	1.44187	6.44515	5.69496
Vitvi09g00668	115.553	124.151	156.16	83.1239	122.284
Vitvi03g00699	17.8821	10.1031	50.3402	22.377	18.3754
Vitvi03g00690	1274.89	1068.99	1745.31	1264.21	1090.92
Vitvi03g00692	115.062	81.9717	246.464	257.159	219.503
Vitvi03g00695	2.46718	2.7482	3.45137	3.05964	2.19529
Vitvi11g01669	167.208	78.352	162.346	150.716	73.4765
Vitvi11g01665	73.4522	55.5384	54.0843	81.6557	67.621
Vitvi11g01664	0.248993	0.800354	0.877797	0	0
Vitvi11g01663	11.6133	46.4942	18.0233	70.0355	18.6321
Vitvi11g01662	42.6501	261.86	65.5909	173.325	41.6912
Vitvi02g00175	68.7862	168.254	60.7633	70.6642	60.834
Vitvi02g00176	954.861	1146.49	926.331	1177.41	1043.1
Vitvi02g00177	1.19939	0.534861	1.73447	0.524103	0.644579
Vitvi02g00170	182.118	40.8571	40.4188	172.838	47.006
Vitvi02g00171	1259.35	944.237	954.031	1327.91	906.008
Vitvi02g00172	530.42	304.83	456.173	573.233	607.859
Vitvi02g00173	61.5215	54.4229	64.9172	60.4725	66.4045
Vitvi02g00178	0.904823	1.09306	2.65096	1.12382	2.88382
Vitvi02g00179	602.245	652.729	601.797	1004.38	625.759
Vitvi18g01964	9.48462	0	0	1.69276	0
Vitvi18g01967	347.243	408.133	328.627	341.628	408.734
Vitvi16g01443	4.93434	1.97902	2.02707	3.24163	8.19886
Vitvi18g01961	0	0.265492	0.546504	0.524103	8.87078
Vitvi18g01962	3.71214	1.11252	0.253905	0.801543	3.20317
Vitvi18g01968	90.377	84.9345	98.7597	103.686	55.1671
Vitvi14g00355	49.773	54.0439	46.1167	34.3423	31.041
Vitvi10g00748	32.7501	59.3381	9.15201	16.2019	32.7295
Vitvi17g00603	13.0162	7.67097	8.62308	0.483955	4.45737
Vitvi14g00352	1.47118	1.62792	2.6017	2.92405	2.56309
Vitvi18g00703	29.0414	43.7101	43.0564	119.047	949.909
Vitvi18g00700	0	0.269369	0.292599	0.846378	0
Vitvi18g00706	944.975	652.905	852.507	635.807	734.369
Vitvi18g00707	44.5002	31.4209	39.7942	33.1829	40.9692
Vitvi18g00704	1.26778	2.4672	1.30822	0.761395	1.9064
Vitvi18g00708	6.56336	1.36243	5.39048	5.19151	6.71184
Vitvi01g01992	13.3546	10.6691	1.25479	7.51273	9.85271
Vitvi01g01993	45.9958	152.798	66.6694	90.5194	49.8949
Vitvi01g01990	99.0953	1.65126	88.7836	11.3597	50.2804
Vitvi01g01991	576.146	512.464	618.345	564.537	542.698
Vitvi01g01996	315.831	315.398	358.301	332.971	291.712
Vitvi01g01997	2.51275	9.91928	12.7236	5.61549	19.0882
Vitvi01g01994	0.724191	0.288831	0.292599	1.73399	0.624851
Vitvi01g01995	1189.04	1263.92	1371.33	1319.97	1151.15
Vitvi01g01998	7.26474	51.6823	92.7727	0	1.55071
Vitvi01g01999	2.73895	26.3425	41.5105	0	11.5644
Vitvi01g00029	651.169	578.146	637.124	616.936	655.934
Vitvi01g00028	123.318	172.629	164.79	123.456	141.217
Vitvi01g00023	252.163	339.208	335.36	348.328	260.476
Vitvi01g00025	182.669	233.843	204.519	229.9	220.73
Vitvi01g00024	333.737	309.03	286.492	340.812	315.448
Vitvi01g00027	72.977	26.3348	45.4344	59.9425	69.2475
Vitvi01g00026	1069.54	1691.65	1446.2	1697.96	1502.37
Vitvi10g01197	2.91957	6.2424	0.800409	6.8963	1.93374
Vitvi04g00288	64.6758	72.0056	68.5783	66.3764	75.8503
Vitvi04g00289	37.2601	12.6131	24.4056	65.5349	35.2275
Vitvi04g00280	86.5315	81.9986	107.557	103.32	118.464
Vitvi04g00281	353.384	361.363	216.023	320.943	304.578
Vitvi04g00282	216.698	31.7145	70.345	281.297	139.482
Vitvi04g00283	287.103	275.458	276.06	320.646	220.883
Vitvi04g00286	102.311	55.3634	48.7634	59.2423	94.5721
Vitvi04g00287	282.235	383.435	370.237	469.33	486.683
Vitvi17g01449	0.497996	0.265492	0.546504	4.81863	0.617237
