Id	Garganega	Glera	Moscatobianco	Passerina	Vermentino
Vitvi13g01113	5.7774	0.330887	2.23113	1.35479	0.63926
Vitvi14g00358	3.12526	3.38807	3.05461	1.33523	5.45098
Vitvi14g01916	126.271	136.268	114.842	104	63.881
Vitvi14g01910	1808.79	791.727	598.854	1034.43	823.587
Vitvi14g01911	9.86327	6.17825	4.89039	2.1699	3.84806
Vitvi14g01918	3.0454	0.971316	0.795735	0.844444	0.324396
Vitvi14g01919	65.2044	106.099	92.0779	71.7359	53.9022
Vitvi14g01867	418.989	510.055	451.55	474.889	428.247
Vitvi05g01970	1.57758	0.623384	1.3235	1.78131	1.27852
Vitvi05g01971	0.253608	0	0.263881	0	2.56719
Vitvi05g01972	10.5021	11.6563	11.703	7.25195	8.35023
Vitvi19g00691	2.01497	0.330887	0.791644	3.7652	0.960065
Vitvi19g00690	17.328	25.953	50.4826	37.7988	36.6398
Vitvi19g00693	99.5244	115.404	136.378	150.156	110.481
Vitvi19g00692	165.55	181.681	154.092	189.204	161.459
Vitvi19g00695	2257.48	3348.47	3374.48	2717.47	2846.14
Vitvi19g00694	14777.3	14462.5	16441.8	11625.8	12430.8
Vitvi10g01622	0.253608	0.661775	1.3235	0	0.317835
Vitvi10g01621	0	0	0.263881	0	0
Vitvi05g00599	48.0059	98.7058	94.5351	125.124	85.8285
Vitvi05g00598	1.50775	0	2.12742	0	0.642851
Vitvi05g00596	1.33197	1.22542	5.52596	1.3995	0.963656
Vitvi05g00591	0	1.22542	1.42721	1.41905	0.645821
Vitvi05g00590	6.53823	3.37947	11.8281	4.66413	3.1963
Vitvi05g00592	6.19669	11.2762	25.7262	169.934	94.7873
Vitvi17g00830	38.0988	30.402	10.5919	34.7433	23.1015
Vitvi17g00836	0.944609	8.93019	4.16244	4.68368	0.64223
Vitvi19g00038	551.582	637.916	650.307	622.394	620.467
Vitvi05g00629	278.353	582.864	1653.16	1722.63	561.224
Vitvi05g00628	12.8128	13.014	17.0811	20.7456	18.2617
Vitvi05g00623	808.358	520.52	483.209	583.909	942.11
Vitvi05g00621	214.754	258.312	293.063	361.551	339.745
Vitvi05g00620	1939.53	1911.37	1994.47	1876.12	1971.25
Vitvi05g00627	189.344	186.259	215.257	217.643	212.257
Vitvi05g00626	109.589	133.926	117.186	128.891	125.566
Vitvi05g00625	179.95	202.261	200.65	231.713	205.909
Vitvi05g00624	181.549	214.984	279.894	270.614	186.918
Vitvi09g00079	727.243	627.556	395.276	515.642	661.306
Vitvi09g01130	51.2629	26.8927	1.35943	12.1987	40.5188
Vitvi09g01137	128.24	105.486	94.307	117.527	89.6868
Vitvi03g01529	28.7929	67.5849	78.3721	42.447	44.6686
Vitvi03g01528	0.816752	2.23513	1.06371	0.770401	1.61604
Vitvi03g01521	97.791	51.1018	48.4197	35.1944	34.6912
Vitvi03g01522	112.958	57.4169	48.3683	59.1859	75.7228
Vitvi03g01524	1.68943	0	1.0678	0	0.321425
Vitvi19g01638	224.749	339.707	472.496	407.493	467.95
Vitvi19g01635	206.885	208.563	212.47	334.957	317.034
Vitvi19g01636	65.1699	63.1509	57.1345	49.69	55.2867
Vitvi19g01637	345.987	337.596	386.069	363.864	359.547
Vitvi19g01630	14.6898	8.84911	1.09964	12.7158	19.6058
Vitvi19g01631	0.507216	0	0.567788	1.09473	0.324396
Vitvi09g00660	6.09284	1.22112	0.567788	1.35479	6.10695
Vitvi09g00667	55.9233	8.31525	2.26297	3.87535	35.9923
Vitvi09g00668	85.5578	80.5437	84.9513	97.5076	82.6579
Vitvi03g00699	30.9575	44.1595	4.77025	33.1267	8.98182
Vitvi03g00690	1599.32	1710.99	1997.66	1579.52	1838.17
Vitvi03g00691	0	0	0.299815	6.52691	0
Vitvi03g00692	101.56	223.467	9.27669	233.049	2.56954
Vitvi03g00695	3.00751	1.80612	1.6315	2.43974	1.60886
Vitvi11g01669	140.535	82.6017	173.517	124.634	147.136
Vitvi11g01666	0.253608	1.20838	0	0.260059	0.963656
Vitvi11g01665	71.5846	76.4187	59.8247	50.9557	70.3426
Vitvi11g01664	0.309536	0.292497	0.531854	0.260059	0
Vitvi11g01663	30.1188	11.1865	16.5533	9.34482	13.1829
Vitvi11g01662	63.5409	22.7955	82.8055	45.2002	48.8631
Vitvi02g00175	61.4521	211.041	69.7015	56.4401	117.714
Vitvi02g00176	1678.82	1024.05	1364.42	874.349	1010.26
Vitvi02g00170	50.8297	40.2675	152.282	97.4431	46.5955
Vitvi02g00171	888.43	961.317	1516.67	1150.2	1087.93
Vitvi02g00172	333.53	395.728	463.893	298.894	460.438
Vitvi02g00173	69.7613	72.1789	51.3437	42.2512	74.8525
Vitvi02g00178	1.44382	0.292497	1.9354	1.3995	0.957095
Vitvi02g00179	905.741	805.26	482.499	808.712	698.925
Vitvi18g01965	3.10133	0	4.72204	2.0707	1.28867
Vitvi18g01964	0	0	0	15.1819	0
Vitvi18g01967	337.102	391.343	455.263	337.396	342.655
Vitvi16g01443	2.69797	4.95713	5.22614	5.67504	8.37054
Vitvi18g01961	2.90365	0	0.267972	0.500566	1.91419
Vitvi18g01962	2.63404	6.53048	2.83076	1.55736	3.85165
Vitvi18g01968	79.445	59.5897	81.3403	74.6777	90.5903
Vitvi14g00355	47.7504	39.164	41.6058	12.0029	61.3991
Vitvi10g00748	8.72695	33.8071	18.5924	12.9721	32.7249
Vitvi17g00603	2.20465	4.89739	10.8354	6.36162	3.54335
Vitvi14g00352	26.9954	1.51362	4.22612	39.1204	1.28508
Vitvi18g00703	133.14	753.453	19.8759	711.868	1188.84
Vitvi18g00700	0.253608	0	0	4.25481	0
Vitvi18g00706	723.291	789.517	1040.91	885.459	744.503
