Id	Garganega	Glera	Moscatobianco	Passerina	Vermentino
Vitvi13g01113	6.78079	2.17505	2.81288	3.76762	1.08905
Vitvi14g00358	3.63954	3.10557	1.70573	0.36039	1.7914
Vitvi14g01916	133.408	93.8193	76.8836	125.012	50.9717
Vitvi14g01910	988.277	645.772	540.956	363.687	660.145
Vitvi14g01911	6.81011	8.13521	6.53709	2.41645	1.09248
Vitvi14g01918	0.436147	0	0.447396	0	0.702353
Vitvi14g01919	39.5044	66.5304	38.2807	42.9915	29.043
Vitvi14g01867	593.195	453.119	335.329	479.236	441.689
Vitvi05g01970	3.13378	2.10392	3.77499	2.16051	7.65419
Vitvi05g01971	0	0	0.380075	0.28526	12.7162
Vitvi05g01972	26.7014	38.806	24.8362	25.9842	19.5497
Vitvi19g00691	3.02387	2.94942	2.20391	2.312	1.7914
Vitvi19g00690	9.72391	28.92	18.1583	27.8887	12.7844
Vitvi19g00693	58.0907	79.2095	96.7845	129.304	65.6725
Vitvi19g00692	191.731	224.185	199.086	259.973	226.293
Vitvi19g00695	2094.14	3041.96	2590.71	2079.3	2951.09
Vitvi19g00694	23203.4	23200.4	24152.7	20240.6	23984.6
Vitvi10g01622	17.9232	7.24314	12.2021	11.6932	4.90619
Vitvi10g01621	5.65188	4.56031	2.20391	4.06814	0.308803
Vitvi05g00599	36.6371	256.01	99.3085	281.815	59.1852
Vitvi05g00598	0.39951	0	2.0858	0	0
Vitvi05g00596	1.09593	1.08753	5.67537	1.23083	1.00773
Vitvi05g00591	1.0593	0.977941	1.20755	1.00604	0.783674
Vitvi05g00590	2.40072	3.74749	3.62381	2.40179	3.03347
Vitvi05g00592	1.42583	16.5206	16.7207	11.5453	10.6575
Vitvi17g00830	1.0593	10.3103	1.68919	0.735439	1.40128
Vitvi17g00836	0	3.78595	0.447396	0.93091	0.390124
Vitvi19g00038	525.581	523.332	531.215	474.503	375.273
Vitvi05g00629	37.4957	150.852	132.724	50.4174	211.251
Vitvi05g00628	17.1752	15.2679	19.5231	19.4226	15.6069
Vitvi05g00623	610.874	441.672	540.553	621.339	976.259
Vitvi05g00621	174.782	215.619	234.024	169.262	211.206
Vitvi05g00620	1402.27	1315.01	1342.03	1370.72	1622.21
Vitvi05g00627	268.628	286.774	447.406	287.587	304.864
Vitvi05g00626	116.896	122.43	138.645	136.248	144.117
Vitvi05g00625	155.162	135.302	197.854	159.808	208.39
Vitvi05g00624	183.047	163.382	166.896	153.963	150.995
Vitvi09g00079	838.375	713.047	546.121	760.577	661.738
Vitvi09g01130	27.9732	24.1087	0.380075	8.58522	21.3575
Vitvi09g01137	111.842	71.0653	65.9956	66.6191	79.1058
Vitvi03g01529	41.3406	81.9522	97.3934	54.5924	55.4792
Vitvi03g01528	0.39951	2.22163	0.827471	0.375049	1.1738
Vitvi03g01521	65.5021	58.4704	85.8242	14.4712	56.5824
Vitvi03g01522	95.9601	80.5155	60.6845	92.8702	37.1312
Vitvi03g01524	0.436147	0.578905	0.810935	2.02674	0.39355
Vitvi19g01638	537.138	463.41	679.215	557.761	575.221
Vitvi19g01635	203.998	248.885	237.32	300.966	273.043
Vitvi19g01636	64.3697	58.706	53.6677	64.4702	60.5247
Vitvi19g01637	321.763	317.241	356.701	318.004	337.028
Vitvi19g01630	3.78991	17.3579	1.19101	36.353	21.891
Vitvi19g01631	1.30844	0.289452	0.760149	2.62658	1.39785
Vitvi09g00660	10.677	4.99033	5.94465	3.27223	10.1342
Vitvi09g00667	5.51264	5.59379	2.28045	4.7431	59.0785
Vitvi09g00668	54.8547	75.4753	75.8176	51.6238	40.9147
Vitvi03g00699	21.1669	18.2957	2.96406	7.92554	3.97293
Vitvi03g00690	1522.69	1860.45	1947.27	1726.87	1879.06
Vitvi03g00691	0	0	0	7.50221	0
Vitvi03g00692	10.5302	19.2976	0.43086	5.38935	0.39355
Vitvi03g00695	5.17909	5.23321	4.3405	2.52089	2.89073
Vitvi11g01669	122.072	96.6273	154.116	165.19	156.479
Vitvi11g01666	1.09593	0.977941	0	2.25153	1.40128
Vitvi11g01665	43.1258	52.7747	39.6349	29.6919	58.6081
Vitvi11g01664	0	1.37698	1.96769	0.28526	2.18495
Vitvi11g01663	1.0593	3.27733	1.27487	8.58585	4.22717
Vitvi11g01662	7.763	4.67801	3.39492	25.1882	19.0102
Vitvi02g00175	91.0557	160.914	93.1734	139.7	21.783
Vitvi02g00176	1947.93	1919.28	1505.75	2113.85	1177.7
Vitvi02g00170	39.0535	48.9215	161.702	44.0403	54.3799
Vitvi02g00171	893.74	901.248	1137.06	882.104	926.562
Vitvi02g00172	264.93	202.71	194.481	225.488	190.662
Vitvi02g00173	101.377	56.7583	37.1513	75.142	46.947
Vitvi02g00178	3.9328	0.399037	1.20755	0.93091	0.698927
Vitvi02g00179	91.5075	227.435	142.786	116.423	229.006
Vitvi18g01965	2.73061	1.46285	3.06563	3.21236	0
Vitvi18g01964	0	0	0	2.67239	0
Vitvi18g01967	522.435	431.776	512.705	535.891	431.62
Vitvi16g01443	5.56747	2.85458	4.1716	4.14267	5.06541
Vitvi18g01961	1.6017	0	0.43086	0	0.308803
Vitvi18g01962	0.436147	8.17366	2.82941	3.7383	6.16816
Vitvi18g01968	70.0285	50.9705	64.58	70.7355	88.5362
Vitvi14g00355	22.4976	27.5274	22.7019	5.85359	34.6028
Vitvi10g00748	4.48267	25.6331	17.4655	14.6642	6.70445
Vitvi17g00603	4.18942	27.0812	32.9637	13.3149	13.5345
Vitvi14g00352	18.3448	5.65595	6.15583	32.798	8.43444
Vitvi18g00703	39.4929	211.66	26.635	237.27	522.871
Vitvi18g00700	0	0	0	2.25029	0
Vitvi18g00706	1096.85	1497.54	1862.16	2218.08	1449.99
Vitvi18g00707	55.5107	56.554	77.2264	37.0903	75.3024
Vitvi18g00704	7.23879	8.84656	24.8858	0.28526	8.9673
Vitvi18g00708	0.76604	3.55203	8.36092	2.40179	14.6771
Vitvi01g01992	2.55474	83.9775	196.975	5.35884	8.88598
Vitvi01g01993	23.8386	32.1499	53.787	6.22864	7.56602
Vitvi01g01990	6.66341	33.2532	35.4376	4.51832	17.9209
Vitvi01g01991	475.584	504.171	449.047	534.281	515.182
Vitvi01g01996	316.614	287.438	302.674	329.935	277.804
Vitvi01g01997	23.4247	2.17505	3.72538	46.1568	49.6535
Vitvi01g01994	2.52176	4.67801	5.4134	2.61192	4.06796
Vitvi01g01995	1379.99	1205.8	1078.52	1147.51	984.707
Vitvi01g01998	693.307	0.399037	5.44647	1816.1	453.394
Vitvi01g01999	37.9281	1.43914	0.878256	89.9651	39.1432
Vitvi01g00029	644.935	706.54	756.629	617.145	597.937
Vitvi01g00028	133.28	144.739	86.4063	200.574	173.424
Vitvi01g00023	425.284	423.321	432.555	471.393	484.326
Vitvi01g00025	275.623	258.215	163.427	224.348	191.397
Vitvi01g00024	292.056	338.918	282.174	258.686	235.839
Vitvi01g00027	27.4712	90.2837	162.358	30.2477	36.7682
Vitvi01g00026	1133.98	1459.63	1395.1	1094.05	940.056
Vitvi10g01197	4.62556	0.66478	1.62187	2.59726	3.58623
Vitvi04g00288	88.3768	68.78	110.236	88.9512	102.433
Vitvi04g00289	4.43856	0.954233	8.08242	0.36039	1.71008
Vitvi04g00280	108.089	73.5046	91.4398	91.2852	104.004
Vitvi04g00281	207.967	442.873	169.465	173.734	129.277
Vitvi04g00282	2.22485	91.6025	5.94465	3.3327	333.256
Vitvi04g00283	57.7829	73.9692	110.684	115.282	105.121
Vitvi04g00286	35.8974	34.5138	40.2085	9.96754	27.8959
Vitvi04g00287	150.763	206.463	207.382	176.627	175.769
Vitvi17g01449	0	0.375328	2.98177	1.2913	0.390124
Vitvi08g02251	31.7376	24.2403	32.1561	19.334	20.8902
Vitvi08g02250	0	0	0.894793	1.32062	0.308803
Vitvi08g02253	1.52842	0	0.380075	0.36039	0.308803
Vitvi08g02252	1239.27	1081.36	1021.66	1338.77	1099.54
Vitvi08g02257	178.568	353.168	383.298	422.084	433.005
Vitvi08g02256	4.38007	3.85623	0.447396	0.660309	5.29289
Vitvi08g02259	2.55474	30.8253	17.5224	7.02455	10.1479
Vitvi08g02258	71.2163	120.764	128.668	72.9705	67.8842
Vitvi04g01623	2.70876	5.46049	7.15337	5.80961	4.11909
Vitvi04g01624	26.2472	27.166	34.5062	39.4481	32.0424
Vitvi13g02016	224.468	92.4747	72.6369	74.4524	21.3548
Vitvi12g00504	0.436147	0	0	0	1.0959
Vitvi12g00505	128.406	94.8596	158.609	16.1064	222.878
Vitvi12g00502	466.523	335.675	397.981	351.519	264.869
Vitvi19g00698	57.0798	128.251	131.14	69.9035	278.964
Vitvi19g01941	1.96457	3.56678	86.4974	32.2611	29.7761
Vitvi06g00026	406.679	295.375	365.559	352.582	332.68
Vitvi06g00027	200.014	184.738	190.509	170.647	170.883
Vitvi06g00024	7.75934	6.21115	12.1513	8.25538	6.92786
Vitvi06g00022	945.216	927.253	915.502	887.426	771.84
Vitvi06g00020	2096.6	2051.17	1939.02	2446.09	1980
Vitvi06g00021	2.76725	2.01805	19.6224	17.6988	3.57938
Vitvi06g00028	151.247	176.353	181.099	196.93	207.214
Vitvi06g00029	4388.55	5239.67	3304.41	3541	4535.14
Vitvi01g01319	291.041	318.144	100.519	257.153	95.5753
Vitvi15g00817	709.552	495.032	535.396	670.002	481.871
Vitvi15g00816	1161.13	426.937	969.384	695.621	1266.87
Vitvi15g00815	186.796	272.813	292.499	280.443	345.33
Vitvi15g00814	2.18821	0.289452	6.19008	4.57819	1.70666
Vitvi15g00813	279.094	225.795	226.796	231.002	182.665
Vitvi15g00811	332.429	490.374	418.398	652.438	515.515
Vitvi15g00810	4658.99	4766.67	5635.92	4779.57	5098.86
Vitvi15g00819	238.586	335.947	229.31	158.589	286.829
Vitvi15g00818	8.08558	17.7177	19.3389	4.66797	14.7385
Vitvi19g00697	664.256	566.361	1361.15	1390.04	2323.8
Vitvi06g01183	83.2454	96.7554	87.2118	102.986	85.4349
Vitvi13g02010	4.87471	4.70172	0.380075	1.83127	13.1166
Vitvi19g00696	718.209	732.242	916.426	796.233	817.797
Vitvi07g00072	19.4148	18.492	31.339	34.493	26.2194
Vitvi07g00073	142.027	187.681	326.647	109.708	196.203
Vitvi07g00074	105.054	1.06382	9.38304	27.3506	14.7254
Vitvi07g00075	691.711	192.565	203.373	325.639	275.287
Vitvi07g00078	3908.89	4623.18	3887.28	5828.83	3818.41
Vitvi07g00079	955.198	1025.8	953.872	1194.4	978.925
Vitvi12g01297	48.3633	45.883	36.6435	48.1353	39.8785
Vitvi12g01296	101.605	103.94	118.635	111.141	98.2797
Vitvi12g01299	0.729403	9.11231	7.40495	2.25153	2.71439
Vitvi12g01298	1.16555	4.98221	2.13659	0.36039	3.28086
