Id	Barbera	Garganega	Glera	Moscatobianco	Negroamaro	Passerina	Primitivo	Refosco	Sangiovese	Vermentino
Vitvi13g01113	1.49213	5.8028	0.331948	2.22721	1.64488	1.35951	6.78414	0.242561	1.88299	0.640516
Vitvi14g00358	1.67492	3.13542	3.39697	3.04996	1.93371	1.34049	6.2225	1.8085	1.63172	5.46181
Vitvi14g01916	78.669	126.816	136.598	114.643	121.646	104.356	115.347	165.344	179.314	64.0109
Vitvi14g01917	0	2.39883	0.642034	0.797722	0.268726	0.503129	1.47842	0	1.58047	0
Vitvi14g01910	853.224	1816.37	793.646	597.777	1299.89	1037.8	836.554	1217.96	770.137	825.26
Vitvi14g01911	8.98841	9.90573	6.19271	4.88006	13.9135	2.17786	14.1546	6.27935	6.01241	3.85567
Vitvi14g01918	0.45301	3.06014	0.973982	0.793992	0	0.84687	0.931662	0.556233	0	0.325113
Vitvi14g01919	117.414	65.4849	106.357	91.903	70.8549	71.9785	61.1552	117.28	114.17	54.0123
Vitvi14g01867	512.044	420.762	511.308	450.767	490.823	476.532	582.856	526.667	470.521	429.131
Vitvi05g01970	0.949732	1.58343	0.625131	1.32083	1.35605	1.78947	3.36224	1.0058	1.90238	1.28103
Vitvi05g01971	0.248361	0.254607	0	0.263421	0	0	0	0.282019	1.2641	2.57289
Vitvi05g01972	4.82201	10.544	11.6828	11.6842	7.73486	7.2752	11.1762	9.71127	20.1183	8.36617
Vitvi19g00691	0.701371	2.02357	0.331948	0.790263	1.10743	3.77942	2.29034	1.8124	1.28349	0.961645
Vitvi19g00690	30.7442	17.3987	26.0162	50.3983	36.3594	37.9134	13.1633	22.2002	33.3726	36.7167
Vitvi19g00693	110.46	99.9655	115.687	136.137	94.6697	150.666	142.537	120.58	151.828	110.707
Vitvi19g00692	197.106	166.264	182.133	153.816	159.109	189.861	162.837	148.835	199.497	161.785
Vitvi19g00695	3233.1	2267.17	3356.66	3368.34	2340.64	2727.28	2994.29	2918.94	2909.65	2851.88
Vitvi19g00694	14712.7	14840.4	14497.4	16412.2	12122.1	11666.2	12973.9	11244.5	13784.8	12456.6
Vitvi10g01622	0.725192	0.254607	0.663895	1.32083	0	0	0.254358	0.806598	0	0.318266
Vitvi10g01621	0.77087	0	0	0.263421	0.268726	0	0	0.278116	0	0
Vitvi02g01539	0	0	0.879549	0	0	0	0.2924	3.2936	0	0
Vitvi05g00599	223.215	48.2105	98.9453	94.3653	89.7188	125.569	594.362	99.1529	120.609	86.0049
Vitvi05g00598	0	1.51435	0	2.12229	0	0	0	0.806598	0	0.644499
Vitvi05g00596	1.01923	1.3379	1.2284	5.51556	0.268726	1.40415	0.573989	0.846056	0.638284	0.965628
Vitvi05g00591	0.498688	0	1.2284	1.42576	1.91361	1.42316	1.38591	0.242561	0	0.647362
Vitvi05g00590	5.85728	6.56662	3.38706	11.8038	6.58337	4.68044	3.40028	6.40986	1.57355	3.20258
Vitvi05g00592	20.6195	6.21992	11.3051	25.679	120.001	170.515	12.226	115.005	17.3824	94.9631
Vitvi17g00830	19.6479	38.2523	30.4766	10.573	18.473	34.8641	39.5435	38.4539	24.6921	23.1477
Vitvi17g00836	0	0.949348	8.95261	4.15478	4.6056	4.69945	0	0.242561	0	0.643379
Vitvi19g00038	617.327	553.953	639.48	649.134	667.892	624.56	713.633	534.709	565.874	621.749
Vitvi05g00629	1320.47	279.519	584.279	1650.21	1855.13	1728.81	1760.81	1813.56	1615.95	562.363
Vitvi05g00628	23.0512	12.8724	13.0444	17.0511	13.207	20.8234	17.1592	17.255	13.0363	18.2957
Vitvi05g00623	675.139	811.769	521.76	482.372	460.301	585.922	285.78	783.903	675.547	944.044
Vitvi05g00621	387.177	215.671	258.95	292.531	393.482	362.856	421.074	349.794	353.732	340.44
Vitvi05g00620	1954.2	1947.83	1916.04	1990.82	1697.16	1882.54	1652.86	1839.16	2064.13	1975.26
Vitvi05g00627	188.237	190.156	186.711	214.863	186.086	218.392	188.743	169.404	158.289	212.682
Vitvi05g00626	151.359	110.057	134.253	116.977	100.532	129.334	127.739	132.912	146.108	125.826
Vitvi05g00625	186.319	180.729	202.749	200.291	192.712	232.503	207.041	216.487	292.086	206.33
Vitvi05g00624	184.734	182.324	215.507	279.398	245.071	271.538	243.06	241.798	200.585	187.304
Vitvi09g00079	636.541	730.373	629.093	394.571	634.605	517.377	511.2	703.354	426.822	662.664
Vitvi09g01130	42.8997	51.4827	26.9563	1.35705	29.7932	12.2422	19.9161	32.9184	33.0646	40.6032
Vitvi09g01137	102.789	128.813	105.744	94.1394	117.469	117.929	102.68	111.447	122.264	89.8741
Vitvi03g01529	34.1498	28.9228	67.7471	78.2371	38.9929	42.5949	35.6345	82.8646	43.5491	44.7606
Vitvi03g01528	0	0.819612	2.24115	1.06114	0.533609	0.773706	0.254358	0.564037	1.25855	1.61984
Vitvi03g01521	93.2205	98.2102	51.2233	48.3383	102.268	35.3061	52.7482	32.1833	36.5073	34.767
Vitvi03g01523	0.474866	0.940272	0.310086	0.299638	2.49127	0.512635	0.546757	1.08471	0.954651	0.325113
Vitvi03g01522	57.2172	113.44	57.56	48.2858	118.263	59.3759	70.0263	101.361	67.0492	75.8772
Vitvi03g01524	0.226505	1.69502	0	1.06487	0.268726	0	1.14798	0.282019	0	0.32225
Vitvi19g01638	371.705	225.698	340.535	471.655	482.187	408.94	301.513	355.942	326.73	468.888
Vitvi19g01635	176.036	207.792	209.074	212.085	247.965	336.135	221.893	161.956	276.438	317.679
Vitvi19g01636	67.64	65.4334	63.3095	57.0283	47.1689	49.8497	64.6863	66.3803	50.0239	55.3997
Vitvi19g01637	368.868	347.446	338.406	385.358	352.277	365.134	368.117	377.799	310.807	360.268
Vitvi19g01630	5.68628	14.7523	8.87012	1.09736	25.375	12.7579	2.62079	12.1744	14.0214	19.6451
Vitvi19g01631	0.226505	0.509213	0	0.566788	0.553715	1.09843	1.6675	0.485123	0	0.325113
Vitvi09g00660	1.76432	6.11741	1.22344	0.566788	1.64488	1.35951	0.931662	1.0058	2.87087	6.12
Vitvi09g00667	17.7104	56.1487	8.33447	2.2597	19.6984	3.88417	1.44038	6.44889	5.70297	36.0687
Vitvi09g00668	115.543	85.9391	80.7416	84.7973	123.967	97.8423	156.054	83.267	122.47	82.8313
Vitvi03g00699	17.8835	31.083	44.2653	4.76151	10.0863	33.2335	50.3068	22.4083	18.4035	9.00033
Vitvi03g00690	1274.94	1606.13	1715.16	1994.12	1067.34	1584.98	1743.94	1266.1	1092.58	1841.91
Vitvi03g00691	0	0	0	0.299638	0	6.55969	0	1.04916	0	0
Vitvi03g00692	115.077	101.996	224.003	9.25832	81.8459	233.847	246.254	257.565	219.831	2.57464
Vitvi03g00695	2.46962	3.01963	1.80981	1.62793	2.74373	2.44843	3.44913	3.06466	2.19936	1.61187
Vitvi11g01669	167.22	141.136	82.8088	173.203	78.2363	125.034	162.192	150.947	73.5899	147.44
Vitvi11g01666	0.226505	0.254607	1.2115	0	0	0.261071	0.254358	0	0	0.965628
Vitvi11g01665	73.473	71.8955	76.6024	59.7163	55.4556	51.1272	54.0531	81.7723	67.7234	70.4858
Vitvi11g01664	0.248361	0.310398	0.293183	0.530571	0.798491	0.261071	0.877199	0	0	0
Vitvi11g01663	11.6091	30.2333	11.2127	16.5243	46.417	9.37346	18.0229	70.1709	18.6687	13.2102
Vitvi11g01662	42.6374	63.8065	22.8547	82.6692	261.444	45.3387	65.5805	173.665	41.7735	48.9636
Vitvi02g00175	68.7982	61.7274	211.551	69.5895	167.983	56.6487	60.7109	70.777	60.9441	117.965
Vitvi02g00176	954.916	1685.85	1026.55	1362.07	1144.71	877.206	925.702	1179.36	1044.88	1012.35
Vitvi02g00177	1.19809	0	0.620173	1.397	0.533609	0.251564	1.73278	0.52458	0.645204	1.59531
Vitvi02g00170	182.12	51.0523	40.3644	152.003	40.7957	97.802	40.3883	173.117	47.0833	46.6934
Vitvi02g00171	1259.48	892.224	963.667	1513.95	942.759	1154.27	953.296	1329.95	907.424	1090.14
Vitvi02g00172	530.448	334.911	396.709	463.072	304.343	299.855	455.929	574.171	608.934	461.401
Vitvi02g00173	61.5402	70.0588	72.3556	51.2532	54.3325	42.3974	64.8679	60.5694	66.5079	75.0026
Vitvi02g00178	0.906019	1.44948	0.293183	1.9313	1.09117	1.40415	2.64802	1.12417	2.8889	0.958782
Vitvi02g00179	602.316	909.68	807.229	481.584	651.707	811.452	601.359	1005.8	626.698	700.358
Vitvi18g01965	0	3.11594	0	4.71411	0	2.07906	0.612031	0	0.309447	1.29186
Vitvi18g01964	9.4812	0	0	0	0	15.2284	0	1.69211	0	0
Vitvi18g01967	347.267	338.549	392.291	454.456	407.497	338.516	328.388	342.12	409.361	343.356
Vitvi16g01443	4.9353	2.70923	4.96927	5.21592	1.97777	5.69621	2.02518	3.24634	8.21177	8.38782
Vitvi18g01961	0	2.91712	0	0.26715	0.264883	0.503129	0.546757	0.52458	8.88329	1.91756
Vitvi18g01960	1.01923	0	0.586366	0.793992	0.268726	0	0	0.278116	1.56799	1.29074
Vitvi18g01962	3.71142	2.64436	6.54652	2.82648	1.11127	1.55998	0.254358	0.802696	3.20663	3.85965
Vitvi18g01968	90.3874	79.781	59.7376	81.1931	84.7992	74.9338	98.6694	103.85	55.2534	90.7787
Vitvi14g00355	49.7704	47.9665	39.2572	41.5212	53.9615	12.0448	46.0886	34.3995	31.0832	61.527
Vitvi10g00748	32.7591	8.76952	33.8905	18.5605	59.2429	13.0223	9.14537	16.2254	32.7801	32.7903
Vitvi10g00749	1.19809	0	0	0.299638	1.11512	0.522142	0	0.242561	0.625814	0
Vitvi17g00603	13.0138	2.2133	4.90864	10.8178	7.65916	6.38724	8.61503	0.485123	4.46381	3.55109
Vitvi14g00352	1.47028	27.1078	1.51662	4.21975	1.62478	39.2478	2.59916	2.92877	2.56698	1.28788
Vitvi18g00703	29.0416	133.697	755.286	19.8414	43.645	714.235	43.0296	119.101	951.393	1191.27
Vitvi18g00700	0	0.254607	0	0	0.268726	4.2766	0.2924	0.846056	0	0
Vitvi18g00706	945.052	726.42	791.429	1039.05	651.895	888.47	851.866	636.732	735.508	746.034
Vitvi18g00707	44.5032	52.5388	33.8328	57.1359	31.3763	28.9063	39.7562	33.2238	41.0348	44.7275
Vitvi18g00704	1.26956	1.45856	3.09883	4.34203	2.46348	1.78947	1.30983	0.763239	1.9093	1.92441
Vitvi18g00708	6.56455	2.06121	3.06007	6.57297	1.35989	7.17352	5.38741	5.19854	6.72134	4.18476
Vitvi01g01992	13.3516	3.38582	7.02358	107.515	10.6515	5.9858	1.25129	7.52623	9.86843	5.7858
Vitvi01g01993	45.9854	50.3399	41.6534	86.0213	152.581	65.5381	66.6219	90.683	49.9838	19.6359
Vitvi01g01990	99.1074	2.90805	59.4762	60.7563	1.64872	12.6401	88.715	11.3659	50.3605	35.0567
Vitvi01g01991	576.146	641.168	548.72	522.278	511.698	527.234	617.944	565.345	543.526	549.469
Vitvi01g01996	315.855	362.167	329.211	337.723	314.903	353.985	358.012	333.471	292.145	277.82
Vitvi01g01997	2.51333	14.5046	3.6683	1.36078	9.90477	19.9243	12.7183	5.62278	19.118	10.9493
Vitvi01g01994	0.723227	2.33396	0.310086	1.42949	0.288832	1.84362	0.2924	1.73739	0.625814	0.650225
Vitvi01g01995	1189.18	1330.97	1473.11	1200.81	1261.96	1199.8	1370.21	1321.92	1152.89	1309.8
Vitvi01g01998	7.26199	55.8869	0.310086	0.563059	51.5947	20.8443	92.7135	0	1.55415	41.4913
Vitvi01g01999	2.73787	102.057	12.7591	0.26715	26.301	73.7987	41.468	0	11.5791	63.1371
Vitvi01g00029	651.27	659.222	706.139	697.109	577.233	554.246	636.675	617.794	656.977	574.108
Vitvi01g00028	123.307	135.299	134.242	90.8085	172.354	174.444	164.644	123.634	141.429	162.916
Vitvi01g00023	252.175	233.468	277.682	298.998	338.694	359.074	335.051	348.879	260.858	328.674
Vitvi01g00025	182.687	188.595	251.061	147.27	233.488	231.559	204.348	230.238	221.062	191.786
Vitvi01g00024	333.737	314.513	350.293	302.561	308.558	303.948	286.252	341.312	315.92	343.047
Vitvi01g00027	72.9922	100.057	79.056	106.057	26.2942	40.0571	45.3882	60.0158	69.3538	36.3877
Vitvi01g00026	1069.64	1489.19	1744.17	1227.73	1689.04	1243.41	1445.06	1700.63	1504.64	1599.53
Vitvi10g01197	2.9187	7.7615	0.95212	1.06114	6.23127	4.62629	0.801115	6.90669	1.93561	7.08563
Vitvi04g00288	64.6889	73.9587	52.6464	61.1818	71.8914	76.8122	68.5099	66.4772	75.9629	93.2879
Vitvi04g00289	37.2807	85.3553	34.7053	14.1061	12.5938	106.725	24.3786	65.5997	35.2791	70.8788
Vitvi04g00280	86.5349	85.0002	91.2875	97.7075	81.8701	97.4317	107.476	103.468	118.643	109.153
Vitvi04g00281	353.455	937.321	561.727	192.855	360.803	203.79	215.884	321.437	305.085	311.252
Vitvi04g00282	216.727	47.5261	309.23	94.265	31.661	61.3912	70.2796	281.725	139.697	419.766
Vitvi04g00283	287.136	597.771	162.069	211.875	275.035	437.281	275.806	321.134	221.237	232.138
Vitvi04g00286	102.322	166.242	68.23	74.1204	55.2765	55.1102	48.7269	59.3352	94.6973	63.7691
Vitvi04g00287	282.232	285.643	239.798	517.164	382.815	299.25	370.004	470.129	487.502	170.905
Vitvi17g01449	0.498688	0.310398	0.586366	1.92384	0.264883	1.41366	0.546757	4.82398	0.618894	0.643379
Vitvi08g02251	33.3253	41.6872	26.6005	24.3757	23.9711	27.1489	31.156	32.668	27.7417	14.4862
Vitvi08g02250	0	0.629873	0.625131	1.89135	0	785.413	0.839157	0.52458	0	0
Vitvi08g02253	0.792727	2.08843	1.83663	0	5.7284	1.15259	0.546757	1.08862	0.328837	0.318266
