# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
GRIP58	Vitvi03g00085	Vitvi03g00085.t01	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOXD	Vitvi07g01151	Vitvi07g01151.t01	protein_coding	0	0	1	14	0	0	0	0	0	0	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0
Vitvi01g00019	Vitvi01g00019	Vitvi01g00019.t01	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g00020	Vitvi01g00020	Vitvi01g00020.t01	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Vitvi01g00105	Vitvi01g00105	Vitvi01g00105.t01	protein_coding	0	0	0	8	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g00106	Vitvi01g00106	Vitvi01g00106.t01	protein_coding	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g00106	Vitvi01g00106	Vitvi01g00106.t02	protein_coding	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g00184	Vitvi01g00184	Vitvi01g00184.t01	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Vitvi01g00185	Vitvi01g00185	Vitvi01g00185.t01	protein_coding	0	0	1	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
Vitvi01g00186	Vitvi01g00186	Vitvi01g00186.t01	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g00193	Vitvi01g00193	Vitvi01g00193.t01	protein_coding	0	0	0	14	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g00290	Vitvi01g00290	Vitvi01g00290.t01	protein_coding	0	0	0	8	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5
