gene	chr	s1	s2
Vitvi01g00001	chr1	10715	27598
Vitvi01g00002	chr1	31968	36088
Vitvi01g00003	chr1	36772	36945
Vitvi01g00004	chr1	42488	45996
Vitvi01g01833	chr1	46794	47258
Vitvi01g00005	chr1	48568	57979
Vitvi01g01834	chr1	60839	61441
Vitvi01g00006	chr1	93202	107691
Vitvi01g01835	chr1	109284	110282
Vitvi01g01836	chr1	116646	118695
Vitvi01g00008	chr1	150565	175325
Vitvi01g00010	chr1	175650	175877
Vitvi01g00011	chr1	194371	206245
Vitvi01g00012	chr1	220643	222146
Vitvi01g01837	chr1	230141	236132
Vitvi01g00013	chr1	237562	239297
Vitvi01g00014	chr1	246096	257603
Vitvi01g01838	chr1	258822	261982
Vitvi01g00015	chr1	262958	280075
Vitvi01g00019	chr1	284363	287490
Vitvi01g00020	chr1	291124	292059
Vitvi01g00021	chr1	293779	293931
Vitvi01g00022	chr1	293989	294241
Vitvi01g00023	chr1	297114	301962
Vitvi01g00024	chr1	302034	304734
Vitvi01g00025	chr1	305943	311406
Vitvi01g00026	chr1	312402	317510
Vitvi01g00027	chr1	334393	339304
Vitvi01g00028	chr1	339375	341627
Vitvi01g00029	chr1	342667	373795
Vitvi01g00030	chr1	376807	378298
Vitvi01g00031	chr1	380995	382994
Vitvi01g00032	chr1	384946	385136
Vitvi01g01839	chr1	385666	386934
Vitvi01g00033	chr1	390762	395255
Vitvi01g00034	chr1	397241	400367
Vitvi01g00035	chr1	400522	418560
Vitvi01g00036	chr1	419879	428907
Vitvi01g00037	chr1	434039	439421
Vitvi01g00038	chr1	441319	445675
Vitvi01g01840	chr1	447808	451784
Vitvi01g00039	chr1	453232	458153
Vitvi01g00041	chr1	459012	463695
Vitvi01g00042	chr1	464496	474444
Vitvi01g00043	chr1	475582	481450
Vitvi01g00045	chr1	481996	495626
Vitvi01g00046	chr1	496383	498802
Vitvi01g00047	chr1	498849	500669
Vitvi01g00048	chr1	501292	504934
Vitvi01g00049	chr1	506835	513187
Vitvi01g00050	chr1	515709	521137
Vitvi01g00051	chr1	523907	526032
Vitvi01g01841	chr1	529787	543820
Vitvi01g00052	chr1	543821	549831
Vitvi01g00053	chr1	550208	556153
Vitvi01g00054	chr1	558141	562817
Vitvi01g00055	chr1	563218	566895
Vitvi01g01842	chr1	571644	573490
Vitvi01g00056	chr1	573646	579405
Vitvi01g00057	chr1	582101	582250
Vitvi01g00058	chr1	586405	589989
Vitvi01g01843	chr1	590498	593282
Vitvi01g00059	chr1	593578	596377
Vitvi01g00060	chr1	599200	602915
Vitvi01g00061	chr1	605241	607895
Vitvi01g00062	chr1	611206	613303
Vitvi01g00063	chr1	615427	620850
Vitvi01g01844	chr1	628680	633657
Vitvi01g00064	chr1	648817	654461
Vitvi01g00065	chr1	656242	666920
Vitvi01g00066	chr1	667638	673704
Vitvi01g00067	chr1	679715	684800
Vitvi01g00068	chr1	688252	696215
Vitvi01g00070	chr1	697863	707710
Vitvi01g00071	chr1	710537	714169
Vitvi01g00072	chr1	715552	718760
Vitvi01g00073	chr1	721727	725418
Vitvi01g01845	chr1	726676	728914
Vitvi01g01846	chr1	729267	730204
Vitvi01g00074	chr1	731548	735748
Vitvi01g00075	chr1	736984	738532
Vitvi01g00076	chr1	741212	751033
Vitvi01g00077	chr1	751774	759700
Vitvi01g00078	chr1	760376	763140
Vitvi01g00079	chr1	763141	765817
Vitvi01g00080	chr1	769992	779634
Vitvi01g01847	chr1	791307	793592
Vitvi01g00081	chr1	793759	796550
Vitvi01g00082	chr1	797607	800093
Vitvi01g01848	chr1	806959	809820
Vitvi01g01849	chr1	811900	814590
Vitvi01g01850	chr1	817790	818365
Vitvi01g01851	chr1	850780	857788
Vitvi01g01852	chr1	860223	875539
Vitvi01g01853	chr1	885718	888859
Vitvi01g00083	chr1	900233	903936
Vitvi01g00084	chr1	910536	918449
Vitvi01g01854	chr1	918670	920549
Vitvi01g01855	chr1	924597	929891
Vitvi01g00085	chr1	930319	945159
Vitvi01g01856	chr1	946282	948763
Vitvi01g00086	chr1	949722	957621
Vitvi01g01857	chr1	958551	959735
Vitvi01g01858	chr1	960660	963965
Vitvi01g00087	chr1	965854	971272
Vitvi01g00088	chr1	972356	975005
Vitvi01g00089	chr1	979345	984651
Vitvi01g01859	chr1	984830	987063
Vitvi01g00090	chr1	988978	994650
Vitvi01g00091	chr1	995577	1000812
Vitvi01g00092	chr1	1002402	1009837
Vitvi01g00094	chr1	1017874	1019921
Vitvi01g00095	chr1	1030308	1032374
Vitvi01g01860	chr1	1049293	1049640
Vitvi01g00096	chr1	1060701	1062011
Vitvi01g00097	chr1	1063026	1070487
Vitvi01g00098	chr1	1071684	1078380
Vitvi01g01861	chr1	1079054	1081341
Vitvi01g00099	chr1	1081342	1082934
Vitvi01g00100	chr1	1082989	1085798
Vitvi01g00101	chr1	1086726	1088645
Vitvi01g00102	chr1	1091772	1093016
Vitvi01g00103	chr1	1098524	1102524
Vitvi01g00104	chr1	1107486	1111611
Vitvi01g00105	chr1	1115204	1119072
Vitvi01g01862	chr1	1119369	1120373
Vitvi01g00106	chr1	1121324	1125917
Vitvi01g01863	chr1	1128471	1132261
Vitvi01g00107	chr1	1133101	1133384
Vitvi01g01864	chr1	1144065	1147736
Vitvi01g01865	chr1	1162556	1163307
Vitvi01g00108	chr1	1169749	1177375
Vitvi01g00109	chr1	1180255	1180413
Vitvi01g01866	chr1	1187527	1191050
Vitvi01g01867	chr1	1193776	1197541
Vitvi01g00110	chr1	1198056	1201257
